Altium Designer Pick and Place Locations
C:\Users\lucas\OneDrive\Desktop\labsatiot_lorawan\HW\lorawan_gateway\Project Outputs for lorawan_gateway\Pick Place for pci_104.csv

========================================================================================================================
File Design Information:

Date:       21/07/22
Time:       14:56
Revision:   2c712dcdc270954347329f963903cee351fa45ba
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Designator4","Comment","TopLayer","FIDUCIAL","5,7500mm","19,2500mm","0",""
"U7B","SAW Filter RF360","TopLayer","QCS5P_1.4x1.1mm","58,9552mm","24,0448mm","315","SAW Filter RF360"
"L12B","LQW15AN4N7C00","TopLayer","L_0402","80,5000mm","22,7500mm","45","Inductor"
"U8A","SAW Filter RF360","TopLayer","QCS5P_1.4x1.1mm","72,6000mm","61,7000mm","0","SAW Filter RF360"
"R11A","220R 5% 1/20W","TopLayer","0603[1608]","42,6720mm","58,1660mm","0","Resistor"
"C27A","10pF X8R","TopLayer","C_0603","43,4340mm","55,8800mm","90","Capacitor"
"U3A","SX1250","TopLayer","vqfn24_4x4mm","43,0000mm","80,5500mm","270","SX1250 - Ultra low power RF Front-End"
"C60B","100nF 16V X8R","TopLayer","C_0603","69,5000mm","33,2500mm","180","Capacitor"
"C60A","100nF 16V X8R","TopLayer","C_0603","69,5000mm","76,7500mm","180","Capacitor"
"U12B","LDO 3.3V","TopLayer","XDFN6_1.2X1.2mm","73,7500mm","35,0000mm","0","LDO IC Positive Fixed 1 Output 500mA 6-XDFN (1.2x1.2)"
"U12A","LDO 3.3V","TopLayer","XDFN6_1.2X1.2mm","73,7500mm","78,5000mm","0","LDO IC Positive Fixed 1 Output 500mA 6-XDFN (1.2x1.2)"
"U11B","Switching Regulator 1.2V","TopLayer","WSON-6","14,2500mm","12,2500mm","180","Switching Regulator IC Positive Fixed 1.2V 1 Output 300mA 6-WDFN"
"U11A","Switching Regulator 1.2V","TopLayer","WSON-6","14,2500mm","55,7500mm","180","Switching Regulator IC Positive Fixed 1.2V 1 Output 300mA 6-WDFN"
"U10B","LDO 3V3","TopLayer","UDFN4_1x1mm","14,2500mm","33,2500mm","90","LDO IC Positive Fixed 1 Output 150mA 4-UDFN"
"U10A","LDO 3V3","TopLayer","UDFN4_1x1mm","14,2500mm","76,7500mm","90","LDO IC Positive Fixed 1 Output 150mA 4-UDFN"
"U9B","LDO 3.3V","TopLayer","UDFN4_1x1mm","31,2500mm","15,7500mm","90","LDO IC Positive Fixed 1 Output 300mA 4-UDFN (1.0x1.0)"
"U9A","LDO 3.3V","TopLayer","UDFN4_1x1mm","31,2500mm","59,2500mm","90","LDO IC Positive Fixed 1 Output 300mA 4-UDFN (1.0x1.0)"
"U8B","SAW Filter RF360","TopLayer","QCS5P_1.4x1.1mm","72,6046mm","18,1954mm","0","SAW Filter RF360"
"U7A","SAW Filter RF360","TopLayer","QCS5P_1.4x1.1mm","58,9552mm","67,5448mm","315","SAW Filter RF360"
"U6B","SKY66423-11","TopLayer","SKY66420_16P_3x3mm","71,5000mm","23,4699mm","0","SKY66423-11 - 860 to 930MHz Front-End Module"
"U6A","SKY66423-11","TopLayer","SKY66420_16P_3x3mm","71,5000mm","66,9699mm","0","SKY66423-11 - 860 to 930MHz Front-End Module"
"U5B","SAW Filter RF360","TopLayer","QCS5P_1.4x1.1mm","60,6951mm","35,5677mm","295","SAW Filter RF360"
"U5A","SAW Filter RF360","TopLayer","QCS5P_1.4x1.1mm","60,6951mm","79,0677mm","295","SAW Filter RF360"
"U4B","SX1261/2","TopLayer","vqfn24_4x4mm","43,2500mm","8,0169mm","270","SX1261/2 - Ultra low power RF transceiver"
"U4A","SX1261/2","TopLayer","vqfn24_4x4mm","43,2500mm","51,6169mm","270","SX1261/2 - Ultra low power RF transceiver"
"U3D","SX1250","TopLayer","vqfn24_4x4mm","43,0000mm","23,0500mm","270","SX1250 - Ultra low power RF Front-End"
"U3C","SX1250","TopLayer","vqfn24_4x4mm","43,0000mm","37,0500mm","270","SX1250 - Ultra low power RF Front-End"
"U3B","SX1250","TopLayer","vqfn24_4x4mm","43,0000mm","66,5500mm","270","SX1250 - Ultra low power RF Front-End"
"U2B","32MHz Clipped Sinewave","TopLayer","TCXO_2.0x1.6mm","35,5000mm","42,0000mm","0","32MHz TCXO - Clipped Sinewave Output"
"U2A","32MHz Clipped Sinewave","TopLayer","TCXO_2.0x1.6mm","35,5000mm","85,5000mm","0","32MHz TCXO - Clipped Sinewave Output"
"U1B","SX1302IMLTRT","TopLayer","vqfn68_7x7mm","25,7500mm","27,0000mm","0","LoRa Core™ Digital Baseband Chip for LoRaWAN network gateways"
"U1A","SX1302IMLTRT","TopLayer","vqfn68_7x7mm","25,7500mm","70,5000mm","0","LoRa Core™ Digital Baseband Chip for LoRaWAN network gateways"
"R15B","1k 5% 1/20W","TopLayer","0603[1608]","65,2500mm","15,7500mm","180","Resistor"
"R15A","1k 5% 1/20W","TopLayer","0603[1608]","65,2500mm","59,2500mm","180","Resistor"
"R14B","1k 5% 1/20W","TopLayer","0603[1608]","65,2000mm","14,0000mm","180","Resistor"
"R14A","1k 5% 1/20W","TopLayer","0603[1608]","65,2000mm","57,5000mm","180","Resistor"
"R13B","1k 5% 1/20W","TopLayer","0603[1608]","65,2500mm","19,2500mm","180","Resistor"
"R13A","1k 5% 1/20W","TopLayer","0603[1608]","65,2500mm","62,7500mm","180","Resistor"
"R12B","100R 5% 1/20W","TopLayer","0603[1608]","35,5000mm","5,1500mm","0","Resistor"
"R12A","100R 5% 1/20W","TopLayer","0603[1608]","35,5000mm","48,7500mm","0","Resistor"
"R11B","220R 5% 1/20W","TopLayer","0603[1608]","42,6720mm","14,5660mm","0","Resistor"
"R10D","220R 5% 1/20W","TopLayer","0603[1608]","42,5000mm","29,7500mm","0","Resistor"
"R10C","220R 5% 1/20W","TopLayer","0603[1608]","42,5000mm","43,7500mm","0","Resistor"
"R10B","220R 5% 1/20W","TopLayer","0603[1608]","42,5000mm","73,2500mm","0","Resistor"
"R10A","220R 5% 1/20W","TopLayer","0603[1608]","42,5000mm","87,2500mm","0","Resistor"
"R7B","47k 5% 1/20W","TopLayer","0603[1608]","18,5000mm","26,2500mm","180","Resistor"
"R7A","47k 5% 1/20W","TopLayer","0603[1608]","18,5000mm","69,7500mm","180","Resistor"
"R6B","680R 10% 1/8W","TopLayer","0603[1608]","22,7500mm","42,0000mm","0","Resistor"
"R6A","680R 10% 1/8W","TopLayer","0603[1608]","22,7500mm","85,5000mm","0","Resistor"
"R5B","680R 10% 1/8W","TopLayer","0603[1608]","22,8000mm","40,2500mm","0","Resistor"
"R5A","680R 10% 1/8W","TopLayer","0603[1608]","22,8000mm","83,7500mm","0","Resistor"
"R4B","680R 10% 1/8W","TopLayer","0603[1608]","22,7500mm","38,5000mm","0","Resistor"
"R4A","680R 10% 1/8W","TopLayer","0603[1608]","22,7500mm","82,0000mm","0","Resistor"
"R3B","47k 5% 1/20W","TopLayer","0603[1608]","14,2500mm","29,7500mm","0","Resistor"
"R3A","47k 5% 1/20W","TopLayer","0603[1608]","14,2500mm","73,2500mm","0","Resistor"
"R2B","10R 5% 1/20W","TopLayer","0603[1608]","14,2500mm","24,5000mm","0","Resistor"
"R2A","10R 5% 1/20W","TopLayer","0603[1608]","14,2500mm","68,0000mm","0","Resistor"
"R1B","100R 5% 1/20W","TopLayer","0603[1608]","18,5000mm","31,5000mm","180","Resistor"
"R1A","100R 5% 1/20W","TopLayer","0603[1608]","18,5000mm","75,0000mm","180","Resistor"
"L14B","LQM2HPN2R2MJ0L","TopLayer","L_1008","17,7500mm","12,7500mm","90","FIXED IND 2.2UH 1A 150 MOHM"
"L14A","LQM2HPN2R2MJ0L","TopLayer","L_1008","17,7500mm","56,2500mm","90","FIXED IND 2.2UH 1A 150 MOHM"
"L13B","LQG15HN3N3S02","TopLayer","L_0402","75,5000mm","20,7500mm","0","Inductor"
"L13A","LQG15HN3N3S02","TopLayer","L_0402","75,7500mm","64,7500mm","315","Inductor"
"L12A","LQW15AN4N7C00","TopLayer","L_0402","77,8000mm","61,4000mm","315","Inductor"
"L11B","LQP15MN1N2B02","TopLayer","L_0402","70,4000mm","26,5000mm","270","Inductor"
"L11A","LQP15MN1N2B02","TopLayer","L_0402","70,4000mm","70,0000mm","270","Inductor"
"L10B","LQW15AN7N5J00D","TopLayer","L_0402","76,5528mm","23,7500mm","180","Inductor"
